58	2	19
59	2	31
57	3	40
58	3	187
59	3	55
103	16	30
102	17	31
103	17	55
105	17	21
103	18	43
104	18	45
105	18	40
106	18	55
108	19	11810
109	19	11810
110	19	11810
108	20	11810
109	20	11810
110	20	11810
111	20	11810
108	21	11810
109	21	11810
110	21	11810
130	32	42
131	32	41
131	33	44
131	34	33
5	59	764
111	64	17
133	80	38
2	93	21
3	93	18
4	93	24
5	93	35
6	93	19
0	94	30
1	94	42
2	94	58
3	94	31
4	94	11
174	94	24
175	94	30
176	94	36
177	94	29
178	94	34
179	94	35
85	95	65
179	95	40
180	95	41
181	95	36
182	95	33
63	115	23
64	115	24
112	115	278
250	151	40
254	163	38
40	182	38
12	186	34
12	187	87
253	211	63
254	211	5
122	217	25
123	217	27
121	218	31
122	218	43
123	218	33
124	218	28
119	219	29
120	219	27
121	219	26
118	220	30
119	220	10
31	224	48
